entrez	target gene	target probe	source probe	Score
3459	IFNGR1	202727_s_at	202727_s_at	1.000000
1390	CREM	214508_x_at	211676_s_at	0.670341
94056	SYAP1	225154_at	211676_s_at	0.663657
2591	GALNT3	203397_s_at	202727_s_at	0.657025
23670	TMEM2	218113_at	202727_s_at	0.634954
6515	SLC2A3	202497_x_at	211676_s_at	0.622842
150094	SIK1	208078_s_at	202727_s_at	0.622345
5144	PDE4D	210837_s_at	242903_at	0.615250
284207	METRNL	225955_at	211676_s_at	0.612346
9929	JOSD1	201751_at	211676_s_at	0.609578
144195	SLC2A14	216236_s_at	211676_s_at	0.606263
23710	GABARAPL1	208868_s_at	211676_s_at	0.603169
94120	SYTL3	1561882_at	242903_at	0.601810
2534	FYN	216033_s_at	211676_s_at	0.601672
133746	JMY	241985_at	242903_at	0.597628
84174	SLA2	1555688_s_at	211676_s_at	0.585070
55274	PHF10	225048_at	242903_at	0.581445
7110	TMF1	242243_at	242903_at	0.579549
2355	FOSL2	218880_at	211676_s_at	0.579077
673	BRAF	243829_at	202727_s_at	0.577322
8507	ENC1	201340_s_at	242903_at	0.576831
9262	STK17B	205214_at	202727_s_at	0.575029
10049	DNAJB6	208811_s_at	211676_s_at	0.574485
65084	TMEM135	208811_s_at	211676_s_at	0.574485
79609	VCPKMT	218940_at	202727_s_at	0.574064
49854	ZBTB21	225539_at	202727_s_at	0.573046
51444	RNF138	218738_s_at	202727_s_at	0.572583
1362	CPD	201940_at	202727_s_at	0.572436
196441	ZFC3H1	1553736_at	202727_s_at	0.571346
9584	RBM39	207941_s_at	202727_s_at	0.568665
22823	MTF2	209704_at	202727_s_at	0.567478
283989	TSEN54	241402_at	242903_at	0.564927
23186	RCOR1	212612_at	202727_s_at	0.564115
64282	PAPD5	229043_at	242903_at	0.561234
9931	HELZ	240486_at	202727_s_at	0.559638
7050	TGIF1	203313_s_at	202727_s_at	0.559234
26051	PPP1R16B	233813_at	242903_at	0.559186
257415	FAM133B	226332_at	242903_at	0.557737
728066	FAM133DP	226332_at	242903_at	0.557737
5621	PRNP	215707_s_at	211676_s_at	0.557282
6907	TBL1X	201869_s_at	211676_s_at	0.555524
26053	AUTS2	212599_at	202727_s_at	0.554666
8477	GPR65	214467_at	202727_s_at	0.553788
64092	SAMSN1	1555638_a_at	211676_s_at	0.552562
1195	CLK1	214683_s_at	202727_s_at	0.552149
54855	FAM46C	226811_at	202727_s_at	0.551067
9741	LAPTM4A	200673_at	202727_s_at	0.550855
728294	D2HGDH	228738_at	242903_at	0.550267
246175	CNOT6L	226153_s_at	242903_at	0.549876
7803	PTP4A1	200731_s_at	202727_s_at	0.549706
5997	RGS2	202388_at	242903_at	0.549138
26191	PTPN22	236539_at	202727_s_at	0.545669
266812	NAP1L5	228063_s_at	242903_at	0.545661
80218	NAA50	217745_s_at	202727_s_at	0.545315
406	ARNTL	209824_s_at	202727_s_at	0.545255
4929	NR4A2	216248_s_at	211676_s_at	0.544512
65977	PLEKHA3	223370_at	202727_s_at	0.542853
10396	ATP8A1	213106_at	242903_at	0.542852
124491	TMEM170A	228505_s_at	211676_s_at	0.541827
7525	YES1	202932_at	202727_s_at	0.541248
9765	ZFYVE16	203651_at	242903_at	0.540048
7738	ZNF184	213452_at	202727_s_at	0.539238
9047	SH2D2A	207351_s_at	211676_s_at	0.537740
7013	TERF1	203448_s_at	242903_at	0.535236
101929787	LOC101929787	236704_at	242903_at	0.534517
54520	CCDC93	219774_at	211676_s_at	0.533352
11261	CHP1	207993_s_at	211676_s_at	0.533313
2186	BPTF	231953_at	211676_s_at	0.532891
8899	PRPF4B	202126_at	202727_s_at	0.532120
22936	ELL2	226099_at	202727_s_at	0.531738
1540	CYLD	60084_at	202727_s_at	0.528908
9709	HERPUD1	217168_s_at	202727_s_at	0.527951
3313	HSPA9	200692_s_at	211676_s_at	0.527427
26018	LRIG1	211596_s_at	211676_s_at	0.526666
55605	KIF21A	226003_at	202727_s_at	0.525657
93010	B3GNT7	1555963_x_at	202727_s_at	0.525612
51669	SARAF	200847_s_at	202727_s_at	0.525564
51366	UBR5	208882_s_at	202727_s_at	0.524854
22931	RAB18	243496_at	242903_at	0.524319
5527	PPP2R5C	1554364_at	242903_at	0.523971
4068	SH2D1A	210116_at	242903_at	0.523645
7763	ZFAND5	210275_s_at	202727_s_at	0.523519
23347	SMCHD1	212569_at	202727_s_at	0.523066
100302143	MIR1248	200912_s_at	242903_at	0.522979
1974	EIF4A2	200912_s_at	242903_at	0.522979
6043	SNORA63	200912_s_at	242903_at	0.522979
619567	SNORD2	200912_s_at	242903_at	0.522979
619568	SNORA4	200912_s_at	242903_at	0.522979
677847	SNORA81	200912_s_at	242903_at	0.522979
6653	SORL1	212560_at	202727_s_at	0.521841
5576	PRKAR2A	225000_at	202727_s_at	0.521395
10914	PAPOLA	209388_at	202727_s_at	0.520215
25976	TIPARP	212665_at	202727_s_at	0.519264
100527943	TGIF2-C20orf24	224376_s_at	211676_s_at	0.519050
55969	C20orf24	224376_s_at	211676_s_at	0.519050
5295	PIK3R1	212239_at	242903_at	0.518424
65117	RSRC2	202302_s_at	202727_s_at	0.517108
3838	KPNA2	211762_s_at	211676_s_at	0.516925
25852	ARMC8	1555279_at	202727_s_at	0.516278
5033	P4HA1	207543_s_at	211676_s_at	0.515293
59339	PLEKHA2	225136_at	202727_s_at	0.514881
51696	HECA	218603_at	202727_s_at	0.514343
10963	STIP1	213330_s_at	211676_s_at	0.512107
9295	SRSF11	213742_at	242903_at	0.509056
373	TRIM23	204732_s_at	242903_at	0.508777
22882	ZHX2	203556_at	202727_s_at	0.508097
2935	GSPT1	201912_s_at	211676_s_at	0.506904
28232	SLCO3A1	227367_at	242903_at	0.506872
81602	CDADC1	233647_s_at	242903_at	0.506576
83440	ADPGK	224455_s_at	211676_s_at	0.506473
26973	CHORDC1	218566_s_at	202727_s_at	0.506400
25820	ARIH1	201881_s_at	202727_s_at	0.506203
84440	RAB11FIP4	225739_at	211676_s_at	0.505971
51762	RAB8B	226633_at	202727_s_at	0.504886
51582	AZIN1	201772_at	211676_s_at	0.504729
80853	KDM7A	221778_at	202727_s_at	0.504290
23133	PHF8	212916_at	202727_s_at	0.504134
1604	CD55	201926_s_at	211676_s_at	0.503895
285527	FRYL	212546_s_at	242903_at	0.503058
6884	TAF13	227278_at	202727_s_at	0.502991
222161	DKFZP586I1420	213546_at	242903_at	0.502890
23766	GABARAPL3	211458_s_at	242903_at	0.502720
285190	RGPD4	210676_x_at	202727_s_at	0.502571
653489	RGPD3	210676_x_at	202727_s_at	0.502571
727851	RGPD8	210676_x_at	202727_s_at	0.502571
729540	RGPD6	210676_x_at	202727_s_at	0.502571
84220	RGPD5	210676_x_at	202727_s_at	0.502571
22933	SIRT2	220605_s_at	211676_s_at	0.502565
64795	RMND5A	212478_at	242903_at	0.502122
51430	SUCO	203429_s_at	202727_s_at	0.502074
64848	YTHDC2	205836_s_at	242903_at	0.501812
333929	SNAI3	1560228_at	211676_s_at	0.501585
353322	ANKRD37	227337_at	242903_at	0.501334
382	ARF6	203311_s_at	211676_s_at	0.501311
3428	IFI16	208966_x_at	242903_at	0.500635
54464	XRN1	1570394_at	242903_at	0.499910
9419	CRIPT	239049_at	242903_at	0.499786
23062	GGA2	208913_at	242903_at	0.499687
4124	MAN2A1	226538_at	242903_at	0.499652
166968	MIER3	231975_s_at	211676_s_at	0.498868
29117	BRD7	228289_at	202727_s_at	0.498617
79441	HAUS3	210054_at	242903_at	0.498519
10598	AHSA1	201491_at	211676_s_at	0.497587
6095	RORA	236266_at	202727_s_at	0.497010
6386	SDCBP	200958_s_at	202727_s_at	0.496947
4928	NUP98	210793_s_at	202727_s_at	0.496769
285513	GPRIN3	1556698_a_at	211676_s_at	0.496393
3312	HSPA8	210338_s_at	211676_s_at	0.496037
85389	SNORD14C	210338_s_at	211676_s_at	0.496037
85390	SNORD14D	210338_s_at	211676_s_at	0.496037
57786	RBAK	228571_at	242903_at	0.495919
11171	STRAP	200870_at	202727_s_at	0.495129
8027	STAM	203544_s_at	202727_s_at	0.494909
6789	STK4	243981_at	242903_at	0.494106
3183	HNRNPC	227110_at	202727_s_at	0.493596
7852	CXCR4	217028_at	242903_at	0.492788
55167	MSL2	218733_at	211676_s_at	0.492620
80709	AKNA	225701_at	202727_s_at	0.492525
1595	CYP51A1	202314_at	202727_s_at	0.492289
401387	LRRD1	202314_at	202727_s_at	0.492289
