entrez	target gene	target probe	source probe	Score
3588	IL10RB	209575_at	209575_at	1.000000
51279	C1RL	218983_at	209575_at	0.659114
90843	TCEAL8	224819_at	209575_at	0.596549
5910	RAP1GDS1	209444_at	209575_at	0.586960
8301	PICALM	215832_x_at	209575_at	0.585396
5775	PTPN4	232161_x_at	209575_at	0.582844
284756	C20orf197	1553311_at	209575_at	0.580408
729082	OIP5-AS1	225225_at	209575_at	0.577683
6817	SULT1A1	215299_x_at	209575_at	0.575094
9270	ITGB1BP1	203337_x_at	209575_at	0.564439
9341	VAMP3	201336_at	209575_at	0.559342
25972	UNC50	203583_at	209575_at	0.558205
57542	KLHL42	225732_at	209575_at	0.556192
84515	MCM8	224320_s_at	209575_at	0.554341
23229	ARHGEF9	203263_s_at	209575_at	0.553708
7163	TPD52	201689_s_at	209575_at	0.550027
10890	RAB10	222981_s_at	209575_at	0.547289
10487	CAP1	213798_s_at	209575_at	0.544949
255403	ZNF718	1553269_at	209575_at	0.543517
5879	RAC1	1567458_s_at	209575_at	0.541956
843	CASP10	205467_at	209575_at	0.539325
51283	BFAR	218056_at	209575_at	0.537774
101928361	LOC101928361	218870_at	209575_at	0.537465
55843	ARHGAP15	218870_at	209575_at	0.537465
10778	ZNF271P	211009_s_at	209575_at	0.537383
79071	ELOVL6	210868_s_at	209575_at	0.537228
11151	CORO1A	209083_at	209575_at	0.536209
84851	TRIM52	1568594_s_at	209575_at	0.535809
1781	DYNC1I2	211684_s_at	209575_at	0.535260
9517	SPTLC2	225095_at	209575_at	0.535159
7375	USP4	211800_s_at	209575_at	0.532677
51571	FAM49B	228987_at	209575_at	0.527372
474343	SPIN2B	211704_s_at	209575_at	0.525139
54466	SPIN2A	211704_s_at	209575_at	0.525139
128977	C22orf39	1553974_at	209575_at	0.524736
51192	CKLF	223451_s_at	209575_at	0.523994
79961	DENND2D	238524_at	209575_at	0.523880
51304	ZDHHC3	218078_s_at	209575_at	0.523623
4205	MEF2A	212535_at	209575_at	0.522346
112574	SNX18	226683_at	209575_at	0.521161
6840	SVIL	202565_s_at	209575_at	0.520702
134145	FAM173B	225668_at	209575_at	0.519222
4931	NVL	207877_s_at	209575_at	0.518517
101926921		210757_x_at	209575_at	0.518152
1601	DAB2	210757_x_at	209575_at	0.518152
5175	PECAM1	208981_at	209575_at	0.517104
84450	ZNF512	225050_at	209575_at	0.516919
55737	VPS35	233864_s_at	209575_at	0.516585
92241	RCSD1	225763_at	209575_at	0.515234
23157	SEPT6	212415_at	209575_at	0.514705
54482	TRMT13	219130_at	209575_at	0.513956
2820	GPD2	225447_at	209575_at	0.512672
10782	ZNF274	204937_s_at	209575_at	0.512546
84792	FAM220A	224452_s_at	209575_at	0.512082
474344	GIMAP6	229367_s_at	209575_at	0.511762
3937	LCP2	244598_at	209575_at	0.510611
101929500		202552_s_at	209575_at	0.509115
