entrez	target gene	target probe	source probe	Score
3595	IL12RB2	206999_at	206999_at	1.000000
79895	ATP8B4	220416_at	206999_at	0.674054
100996668		212764_at	206999_at	0.659087
6935	ZEB1	212764_at	206999_at	0.659087
57713	SFMBT2	227210_at	206999_at	0.649907
26228	STAP1	220059_at	206999_at	0.644218
1230	CCR1	205098_at	206999_at	0.640357
7075	TIE1	204468_s_at	206999_at	0.634669
8792	TNFRSF11A	238846_at	206999_at	0.633677
8809	IL18R1	206618_at	206999_at	0.633537
3656	IRAK2	231779_at	206999_at	0.626863
6304	SATB1	241365_at	206999_at	0.621816
8807	IL18RAP	207072_at	206999_at	0.620234
3655	ITGA6	201656_at	206999_at	0.619535
3805	KIR2DL4	211242_x_at	206999_at	0.617776
23708	GSPT2	205541_s_at	206999_at	0.617459
100534599	ISY1-RAB43	225632_s_at	206999_at	0.617180
339122	RAB43	225632_s_at	206999_at	0.617180
166647	ADGRA3	210473_s_at	206999_at	0.615271
1604	CD55	1555950_a_at	206999_at	0.611068
28514	DLL1	224215_s_at	206999_at	0.607376
84707	BEX2	224367_at	206999_at	0.604487
1326	MAP3K8	235421_at	206999_at	0.600987
5921	RASA1	210621_s_at	206999_at	0.594543
56650	CLDND1	208925_at	206999_at	0.593976
2776	GNAQ	224862_at	206999_at	0.591288
283587	LINC01146	1559363_at	206999_at	0.591277
8784	TNFRSF18	224553_s_at	206999_at	0.590993
3091	HIF1A	200989_at	206999_at	0.586283
57559	STAMBPL1	227607_at	206999_at	0.580912
10892	MALT1	210018_x_at	206999_at	0.578867
102465472	MIR6787	202856_s_at	206999_at	0.577450
9123	SLC16A3	202856_s_at	206999_at	0.577450
55607	PPP1R9A	228494_at	206999_at	0.576933
9643	MORF4L2	201994_at	206999_at	0.576891
65982	ZSCAN18	218312_s_at	206999_at	0.574410
5771	PTPN2	213136_at	206999_at	0.572728
1615	DARS	201623_s_at	206999_at	0.572158
6197	RPS6KA3	203843_at	206999_at	0.570219
10606	PAICS	201013_s_at	206999_at	0.569974
3628	INPP1	202794_at	206999_at	0.559049
10564	ARFGEF2	222518_at	206999_at	0.555883
54806	AHI1	232461_at	206999_at	0.554895
6375	XCL1	206365_at	206999_at	0.548291
101928061		200971_s_at	206999_at	0.547785
27230	SERP1	200971_s_at	206999_at	0.547785
3398	ID2	201565_s_at	206999_at	0.546581
8295	TRRAP	202642_s_at	206999_at	0.545246
57674	RNF213	232155_at	206999_at	0.543042
283551	LINC01588	239777_at	206999_at	0.542656
6846	XCL2	214567_s_at	206999_at	0.541740
10299	MARCH6	201736_s_at	206999_at	0.540981
9188	DDX21	208152_s_at	206999_at	0.540022
158	ADSL	202144_s_at	206999_at	0.539730
3720	JARID2	203298_s_at	206999_at	0.536517
57186	RALGAPA2	225499_at	206999_at	0.536440
55824	PAG1	225622_at	206999_at	0.531528
57553	MICAL3	212715_s_at	206999_at	0.530737
146857	SLFN13	1558217_at	206999_at	0.530384
50810	HDGFRP3	209526_s_at	206999_at	0.529677
4684	NCAM1	231532_at	206999_at	0.529020
10105	PPIF	201490_s_at	206999_at	0.527818
29799	YPEL1	228296_at	206999_at	0.527683
3735	KARS	200840_at	206999_at	0.527487
6402	SELL	204563_at	206999_at	0.525931
3718	JAK3	227677_at	206999_at	0.524249
9252	RPS6KA5	204633_s_at	206999_at	0.523311
80162	ATHL1	219359_at	206999_at	0.522685
51068	NMD3	231870_s_at	206999_at	0.522433
9695	EDEM1	203279_at	206999_at	0.521310
374	AREG	205239_at	206999_at	0.520716
7188	TRAF5	204352_at	206999_at	0.519407
9666	DZIP3	213186_at	206999_at	0.518802
80063	ATF7IP2	219870_at	206999_at	0.518489
9079	LDB2	206481_s_at	206999_at	0.518096
23764	MAFF	36711_at	206999_at	0.517965
1052	CEBPD	213006_at	206999_at	0.516733
5045	FURIN	201945_at	206999_at	0.516638
23143	LRCH1	235012_at	206999_at	0.516103
101929668		240054_at	206999_at	0.514860
2120	ETV6	225764_at	206999_at	0.514858
51735	RAPGEF6	230078_at	206999_at	0.513944
3251	HPRT1	202854_at	206999_at	0.513419
115361	GBP4	235175_at	206999_at	0.513129
23283	CSTF2T	212905_at	206999_at	0.512993
100505687	LINC00888	236798_at	206999_at	0.512496
10154	PLXNC1	213241_at	206999_at	0.511105
5590	PRKCZ	202178_at	206999_at	0.510790
1662	DDX10	204977_at	206999_at	0.510711
54517	PUS7	218984_at	206999_at	0.510573
868	CBLB	227900_at	206999_at	0.510487
92140	MTDH	227277_at	206999_at	0.509786
7803	PTP4A1	200731_s_at	206999_at	0.509007
23240	KIAA0922	209760_at	206999_at	0.508611
837	CASP4	209310_s_at	206999_at	0.508412
102465133	MIR6125	210681_s_at	206999_at	0.508259
9958	USP15	210681_s_at	206999_at	0.508259
3516	RBPJ	207785_s_at	206999_at	0.507797
4927	NUP88	202900_s_at	206999_at	0.505900
641	BLM	205733_at	206999_at	0.504244
84969	TOX2	228737_at	206999_at	0.504228
6434	TRA2B	200893_at	206999_at	0.504225
7804	LRP8	205282_at	206999_at	0.503769
4084	MXD1	226275_at	206999_at	0.503634
253782	CERS6	212446_s_at	206999_at	0.503180
55500	ETNK1	219017_at	206999_at	0.502576
10988	METAP2	227993_at	206999_at	0.502450
8844	KSR1	235252_at	206999_at	0.502440
100996643	LOC100996643	225520_at	206999_at	0.500932
101928195	LOC101928195	225520_at	206999_at	0.500932
25902	MTHFD1L	225520_at	206999_at	0.500932
55132	LARP1B	226750_at	206999_at	0.500691
55784	MCTP2	220603_s_at	206999_at	0.498828
9021	SOCS3	227697_at	206999_at	0.497889
55110	MAGOHB	218894_s_at	206999_at	0.496619
25871	C3orf17	225281_at	206999_at	0.496028
10663	CXCR6	206974_at	206999_at	0.495736
100507419	MMP25-AS1	239180_at	206999_at	0.495526
11057	ABHD2	228490_at	206999_at	0.495405
65985	AACS	218434_s_at	206999_at	0.494405
3003	GZMK	206666_at	206999_at	0.494347
100533955	SENP3-EIF4A1	211787_s_at	206999_at	0.493858
101928634		211787_s_at	206999_at	0.493858
1973	EIF4A1	211787_s_at	206999_at	0.493858
26781	SNORA67	211787_s_at	206999_at	0.493858
652965	SNORA48	211787_s_at	206999_at	0.493858
652966	SNORD10	211787_s_at	206999_at	0.493858
54940	OCIAD1	223011_s_at	206999_at	0.493037
153830	RNF145	226077_at	206999_at	0.492649
6120	RPE	216574_s_at	206999_at	0.490340
729020	RPEL1	216574_s_at	206999_at	0.490340
8027	STAM	203544_s_at	206999_at	0.490191
4351	MPI	202472_at	206999_at	0.488867
56983	POGLUT1	222681_at	206999_at	0.487443
30001	ERO1L	222646_s_at	206999_at	0.487140
23086	EXPH5	213929_at	206999_at	0.487002
8743	TNFSF10	202688_at	206999_at	0.486876
125488	TTC39C	230747_s_at	206999_at	0.486226
92595	ZNF764	57516_at	206999_at	0.485128
7337	UBE3A	213291_s_at	206999_at	0.484623
3615	IMPDH2	201892_s_at	206999_at	0.484476
27197	GPR82	1553317_s_at	206999_at	0.483922
7917	BAG6	213318_s_at	206999_at	0.483829
100616282	MIR4738	211999_at	206999_at	0.482359
3020	H3F3A	211999_at	206999_at	0.482359
3021	H3F3B	211999_at	206999_at	0.482359
5142	PDE4B	211302_s_at	206999_at	0.482279
1875	E2F5	221586_s_at	206999_at	0.481965
10075	HUWE1	208598_s_at	206999_at	0.481727
22856	CHSY1	203044_at	206999_at	0.479472
9887	SMG7	201794_s_at	206999_at	0.478172
10765	KDM5B	201549_x_at	206999_at	0.477951
5165	PDK3	206348_s_at	206999_at	0.477868
10972	TMED10	200929_at	206999_at	0.477833
5636	PRPSAP2	203537_at	206999_at	0.477473
283991	UBALD2	224783_at	206999_at	0.476704
3708	ITPR1	216944_s_at	206999_at	0.476430
84513	PPAPDC1B	226384_at	206999_at	0.474501
8570	KHSRP	212303_x_at	206999_at	0.473831
204	AK2	212173_at	206999_at	0.473810
7347	UCHL3	204616_at	206999_at	0.473649
6641	SNTB1	214708_at	206999_at	0.472938
56951	C5orf15	203024_s_at	206999_at	0.472780
387893	SETD8	225118_at	206999_at	0.472610
9175	MAP3K13	226190_at	206999_at	0.472022
9871	SEC24D	202375_at	206999_at	0.470457
5359	PLSCR1	202446_s_at	206999_at	0.470357
55760	DHX32	218198_at	206999_at	0.469933
203197	C9orf91	221865_at	206999_at	0.468938
10270	AKAP8	203847_s_at	206999_at	0.468779
924	CD7	214551_s_at	206999_at	0.467943
9331	B4GALT6	235333_at	206999_at	0.467635
26123	TCTN3	212121_at	206999_at	0.467536
101060399	LOC101060399	209501_at	206999_at	0.467371
1039	CDR2	209501_at	206999_at	0.467371
63916	ELMO2	220363_s_at	206999_at	0.467052
7766	ZNF223	207128_s_at	206999_at	0.466793
55750	AGK	222132_s_at	206999_at	0.466662
4735	SEPT2	200778_s_at	206999_at	0.466617
81929	SEH1L	221931_s_at	206999_at	0.466550
285972	LINC00996	1560762_at	206999_at	0.466249
55274	PHF10	225048_at	206999_at	0.466203
84868	HAVCR2	1555628_a_at	206999_at	0.466085
10241	CALCOCO2	210817_s_at	206999_at	0.465414
663	BNIP2	209308_s_at	206999_at	0.465335
56994	CHPT1	221675_s_at	206999_at	0.464352
90411	MCFD2	212245_at	206999_at	0.464049
51008	ASCC1	219336_s_at	206999_at	0.462169
23406	COTL1	224583_at	206999_at	0.462011
5689	PSMB1	200876_s_at	206999_at	0.461882
83548	COG3	1554339_a_at	206999_at	0.461669
26156	RSL1D1	213750_at	206999_at	0.461467
