entrez	target gene	target probe	source probe	Score
23765	IL17RA	205707_at	205707_at	1.000000
27197	GPR82	244434_at	229101_at	0.552432
3655	ITGA6	215177_s_at	229101_at	0.550628
11118	BTN3A2	212613_at	229295_at	0.540200
409	ARRB2	203388_at	229101_at	0.534694
404636	FAM45A	221804_s_at	229101_at	0.525378
55855	FAM45B	221804_s_at	229101_at	0.525378
7030	TFE3	212457_at	228685_at	0.523597
10782	ZNF274	204937_s_at	229101_at	0.520833
10384	BTN3A3	204820_s_at	229295_at	0.520182
4149	MAX	209332_s_at	229101_at	0.510742
128346	C1orf162	228532_at	229101_at	0.509835
55062	WIPI1	203827_at	229101_at	0.496278
79086	SMIM7	221988_at	229101_at	0.492092
7171	TPM4	209344_at	228685_at	0.491504
6850	SYK	226068_at	229101_at	0.489925
84316	NAA38	225441_x_at	229101_at	0.487614
9695	EDEM1	203279_at	228685_at	0.487453
101926921		201279_s_at	229101_at	0.485389
1601	DAB2	201279_s_at	229101_at	0.485389
7798	LUZP1	225831_at	228685_at	0.482101
7917	BAG6	213318_s_at	229101_at	0.481134
8935	SKAP2	225639_at	229101_at	0.478493
6641	SNTB1	214708_at	229101_at	0.478229
643977	FLJ32255	235292_at	229101_at	0.474874
414	ARSD	225286_at	229101_at	0.473536
5879	RAC1	208641_s_at	229101_at	0.471737
81579	PLA2G12A	228084_at	229101_at	0.469489
9079	LDB2	206481_s_at	229101_at	0.468034
24149	ZNF318	203520_s_at	229101_at	0.467500
8291	DYSF	218660_at	229101_at	0.467489
4208	MEF2C	209200_at	229295_at	0.466748
1052	CEBPD	213006_at	228685_at	0.466629
23030	KDM4B	212496_s_at	229101_at	0.465479
92249	LINC01278	212957_s_at	229101_at	0.464047
9813	EFCAB14	201776_s_at	229101_at	0.463070
3017	HIST1H2BD	209911_x_at	229101_at	0.462423
23157	SEPT6	212415_at	229101_at	0.462244
1026	CDKN1A	202284_s_at	205707_at	0.461574
4925	NUCB2	229838_at	229101_at	0.461299
3811	KIR3DL1	207314_x_at	229101_at	0.460546
3812	KIR3DL2	207314_x_at	229101_at	0.460546
2207	FCER1G	204232_at	229101_at	0.459548
5165	PDK3	221957_at	228685_at	0.459213
2815	GP9	206883_x_at	205707_at	0.457298
4084	MXD1	228846_at	228685_at	0.456684
9685	CLINT1	201768_s_at	228685_at	0.455556
29965	CDIP1	223960_s_at	229101_at	0.453792
1774	DNASE1L1	203912_s_at	229101_at	0.453776
54893	MTMR10	225810_at	229101_at	0.452056
26776	SNORA71B	1568248_x_at	205707_at	0.451957
7163	TPD52	201689_s_at	229101_at	0.451118
100507419	MMP25-AS1	239180_at	229101_at	0.449924
9779	TBC1D5	201813_s_at	229101_at	0.449189
2124	EVI2B	211742_s_at	229101_at	0.448831
1508	CTSB	213274_s_at	229295_at	0.448783
56477	CCL28	224240_s_at	229101_at	0.448599
51315	KRCC1	222585_x_at	229295_at	0.448562
100616371	MIR4746	220757_s_at	229101_at	0.448060
80700	UBXN6	220757_s_at	229101_at	0.448060
65982	ZSCAN18	218312_s_at	229101_at	0.446667
51279	C1RL	218983_at	229101_at	0.446665
6888	TALDO1	201463_s_at	229101_at	0.446367
7076	TIMP1	201666_at	229101_at	0.446281
9114	ATP6V0D1	212041_at	229101_at	0.445285
5175	PECAM1	208981_at	229101_at	0.444910
