entrez	target gene	target probe	source probe	Score
8809	IL18R1	206618_at	206618_at	1.000000
8807	IL18RAP	207072_at	206618_at	0.658353
1326	MAP3K8	205027_s_at	206618_at	0.657308
3656	IRAK2	231779_at	206618_at	0.655594
3595	IL12RB2	206999_at	206618_at	0.633537
6197	RPS6KA3	203843_at	206618_at	0.599277
5921	RASA1	210621_s_at	206618_at	0.592771
57713	SFMBT2	227210_at	206618_at	0.590971
5771	PTPN2	213136_at	206618_at	0.585785
5045	FURIN	201945_at	206618_at	0.577780
9871	SEC24D	202375_at	206618_at	0.573095
868	CBLB	209682_at	206618_at	0.570874
79895	ATP8B4	220416_at	206618_at	0.561050
2120	ETV6	235056_at	206618_at	0.558798
50810	HDGFRP3	209524_at	206618_at	0.553945
3516	RBPJ	207785_s_at	206618_at	0.541377
2242	FES	205418_at	206618_at	0.541291
100996668		212764_at	206618_at	0.540835
6935	ZEB1	212764_at	206618_at	0.540835
92140	MTDH	227277_at	206618_at	0.537518
83641	FAM107B	223058_at	206618_at	0.531660
3398	ID2	201566_x_at	206618_at	0.530133
51735	RAPGEF6	230078_at	206618_at	0.528551
23764	MAFF	36711_at	206618_at	0.527067
8027	STAM	203544_s_at	206618_at	0.524076
3718	JAK3	227677_at	206618_at	0.522753
55784	MCTP2	220603_s_at	206618_at	0.522294
55132	LARP1B	233764_s_at	206618_at	0.512390
65982	ZSCAN18	218312_s_at	206618_at	0.511691
4084	MXD1	226275_at	206618_at	0.508489
57674	RNF213	232155_at	206618_at	0.503691
115361	GBP4	235175_at	206618_at	0.502801
9021	SOCS3	227697_at	206618_at	0.500581
51361	HOOK1	225792_at	206618_at	0.498035
8678	BECN1	208946_s_at	206618_at	0.497050
80154	GOLGA2P10	223326_s_at	206618_at	0.495416
51175	TUBE1	226181_at	206618_at	0.494051
55619	DOCK10	219279_at	206618_at	0.492607
100534599	ISY1-RAB43	225632_s_at	206618_at	0.490499
339122	RAB43	225632_s_at	206618_at	0.490499
9873	FCHSD2	203620_s_at	206618_at	0.490224
64388	GREM2	240509_s_at	206618_at	0.489461
25871	C3orf17	225281_at	206618_at	0.487353
51729	WBP11	217822_at	206618_at	0.487072
54899	PXK	225796_at	206618_at	0.485844
23708	GSPT2	205541_s_at	206618_at	0.483924
90411	MCFD2	212245_at	206618_at	0.482663
4684	NCAM1	231532_at	206618_at	0.481251
10241	CALCOCO2	210817_s_at	206618_at	0.480514
11040	PIM2	204269_at	206618_at	0.479605
7536	SF1	208313_s_at	206618_at	0.477212
55904	KMT2E	226100_at	206618_at	0.476428
4189	DNAJB9	202843_at	206618_at	0.476200
2634	GBP2	202748_at	206618_at	0.475784
2643	GCH1	204224_s_at	206618_at	0.473249
23086	EXPH5	213929_at	206618_at	0.473216
5366	PMAIP1	204286_s_at	206618_at	0.470812
253782	CERS6	212446_s_at	206618_at	0.470440
84969	TOX2	228737_at	206618_at	0.469813
55014	STX17	226662_at	206618_at	0.469381
8776	MTMR1	216095_x_at	206618_at	0.468802
3091	HIF1A	200989_at	206618_at	0.468567
5142	PDE4B	211302_s_at	206618_at	0.468209
29799	YPEL1	228296_at	206618_at	0.467234
23169	SLC35D1	209712_at	206618_at	0.467050
26502	NARF	237299_at	206618_at	0.466872
100288490	LOC100288490	1556725_a_at	206618_at	0.466617
30001	ERO1L	222646_s_at	206618_at	0.464322
4851	NOTCH1	218902_at	206618_at	0.463937
382	ARF6	203312_x_at	206618_at	0.463053
84376	HOOK3	235114_x_at	206618_at	0.462739
3659	IRF1	238725_at	206618_at	0.461911
3663	IRF5	239412_at	206618_at	0.460674
285513	GPRIN3	232687_at	206618_at	0.459687
9063	PIAS2	238700_at	206618_at	0.459370
407004	MIR22	214696_at	206618_at	0.458487
84981	MIR22HG	214696_at	206618_at	0.458487
1604	CD55	201925_s_at	206618_at	0.457627
1964	EIF1AX	201019_s_at	206618_at	0.455895
51667	NUB1	1569030_s_at	206618_at	0.455876
84707	BEX2	224367_at	206618_at	0.455397
5781	PTPN11	212610_at	206618_at	0.455354
56983	POGLUT1	222681_at	206618_at	0.454871
10658	CELF1	235297_at	206618_at	0.454836
64431	ACTR6	218395_at	206618_at	0.452688
6402	SELL	204563_at	206618_at	0.452229
1880	GPR183	205419_at	206618_at	0.452175
8784	TNFRSF18	224553_s_at	206618_at	0.450658
10075	HUWE1	208598_s_at	206618_at	0.450619
5128	CDK17	221918_at	206618_at	0.449814
8295	TRRAP	202642_s_at	206618_at	0.449182
7694	ZNF135	206142_at	206618_at	0.448915
6772	STAT1	209969_s_at	206618_at	0.448054
160760	PPTC7	235744_at	206618_at	0.448043
51444	RNF138	239143_x_at	206618_at	0.447751
9685	CLINT1	201769_at	206618_at	0.447140
79668	PARP8	219033_at	206618_at	0.447040
6782	HSPA13	202557_at	206618_at	0.446582
10206	TRIM13	203659_s_at	206618_at	0.446284
6304	SATB1	203408_s_at	206618_at	0.445598
123720	WHAMM	228953_at	206618_at	0.445388
3655	ITGA6	201656_at	206618_at	0.443395
10765	KDM5B	201549_x_at	206618_at	0.443213
