entrez	target gene	target probe	source probe	Score
3561	IL2RG	204116_at	204116_at	1.000000
5880	RAC2	207419_s_at	204116_at	0.726871
3936	LCP1	208885_at	204116_at	0.718113
166	AES	217729_s_at	204116_at	0.704910
51150	SDF4	221972_s_at	204116_at	0.704550
4302	MLLT6	224784_at	204116_at	0.691505
7922	SLC39A7	202667_s_at	204116_at	0.690702
81037	CLPTM1L	223020_at	204116_at	0.685625
6628	SNRPB	208821_at	204116_at	0.681099
8907	AP1M1	223024_at	204116_at	0.680225
26277	TINF2	220052_s_at	204116_at	0.670299
11316	COPE	201264_at	204116_at	0.670188
10084	PQBP1	207769_s_at	204116_at	0.667874
8815	BANF1	210125_s_at	204116_at	0.665541
79180	EFHD2	222483_at	204116_at	0.664729
10960	LMAN2	200805_at	204116_at	0.661611
112770	GLMP	225401_at	204116_at	0.659649
1072	CFL1	1555730_a_at	204116_at	0.659346
9961	MVP	202180_s_at	204116_at	0.658121
23193	GANAB	214626_s_at	204116_at	0.657859
8402	SLC25A11	207088_s_at	204116_at	0.656400
6195	RPS6KA1	203379_at	204116_at	0.655928
7317	UBA1	200964_at	204116_at	0.654289
5499	PPP1CA	200846_s_at	204116_at	0.653589
3163	HMOX2	218120_s_at	204116_at	0.652635
79109	MAPKAP1	229846_s_at	204116_at	0.652301
10284	SAP18	208742_s_at	204116_at	0.652111
29781	NCAPH2	205086_s_at	204116_at	0.649055
5714	PSMD8	200820_at	204116_at	0.648267
3106	HLA-B	211911_x_at	204116_at	0.648182
115939	TSR3	213104_at	204116_at	0.648095
682	BSG	208677_s_at	204116_at	0.647215
10078	TSSC4	218612_s_at	204116_at	0.647008
79139	DERL1	219402_s_at	204116_at	0.646976
22800	RRAS2	208456_s_at	204116_at	0.646585
11253	MAN1B1	65884_at	204116_at	0.645561
7520	XRCC5	208642_s_at	204116_at	0.642906
3421	IDH3G	202471_s_at	204116_at	0.641644
84868	HAVCR2	1554285_at	204116_at	0.640822
3949	LDLR	202067_s_at	204116_at	0.640747
3418	IDH2	210046_s_at	204116_at	0.640533
3482	IGF2R	201393_s_at	204116_at	0.640343
10682	EBP	213787_s_at	204116_at	0.638972
5699	PSMB10	202659_at	204116_at	0.637430
3689	ITGB2	202803_s_at	204116_at	0.637193
2782	GNB1	200744_s_at	204116_at	0.636575
11284	PNKP	218961_s_at	204116_at	0.636271
11313	LYPLA2	215566_x_at	204116_at	0.635349
100529262	MIA-RAB4B	233385_x_at	204116_at	0.635093
53916	RAB4B	233385_x_at	204116_at	0.635093
27429	HTRA2	211152_s_at	204116_at	0.634951
389	RHOC	200885_at	204116_at	0.634337
51763	INPP5K	202782_s_at	204116_at	0.632482
54939	COMMD4	209132_s_at	204116_at	0.632151
2783	GNB2	200852_x_at	204116_at	0.631136
3695	ITGB7	205718_at	204116_at	0.630431
5034	P4HB	200656_s_at	204116_at	0.629779
51246	SHISA5	222986_s_at	204116_at	0.628731
22913	RALY	201271_s_at	204116_at	0.627303
5551	PRF1	1553681_a_at	204116_at	0.625523
11145	PLA2G16	209581_at	204116_at	0.624709
64005	MYO1G	227799_at	204116_at	0.623954
5704	PSMC4	201252_at	204116_at	0.622698
2237	FEN1	204768_s_at	204116_at	0.622221
11334	TUSC2	203272_s_at	204116_at	0.621670
1731	SEPT1	227552_at	204116_at	0.621664
