entrez	target gene	target probe	source probe	Score
7048	TGFBR2	207334_s_at	207334_s_at	1.000000
79899	PRR5L	219383_at	208944_at	0.778210
139231	FAM199X	227133_at	208944_at	0.761140
10927	SPIN1	222431_at	208944_at	0.748746
54861	SNRK	209481_at	208944_at	0.745963
10314	LANCL1	202020_s_at	208944_at	0.725505
546	ATRX	208860_s_at	208944_at	0.724136
23287	AGTPBP1	204499_at	208944_at	0.722493
5775	PTPN4	236935_at	208944_at	0.719794
54796	BNC2	230722_at	208944_at	0.715436
59084	ENPP5	237054_at	208944_at	0.714871
5529	PPP2R5E	227630_at	208944_at	0.707400
122830	NAA30	225679_at	208944_at	0.706283
8725	URI1	211563_s_at	208944_at	0.704534
29068	ZBTB44	1554470_s_at	208944_at	0.704172
91452	ACBD5	225663_at	208944_at	0.703634
51335	NGRN	217722_s_at	208944_at	0.703031
6733	SRPK2	1558254_s_at	208944_at	0.700011
57448	BIRC6	224635_s_at	208944_at	0.697082
4690	NCK1	211063_s_at	208944_at	0.696236
152006	RNF38	218528_s_at	208944_at	0.692513
8451	CUL4A	201423_s_at	208944_at	0.690345
139818	DOCK11	226875_at	208944_at	0.689690
57223	SMEK2	233759_s_at	208944_at	0.689250
54878	DPP8	220939_s_at	208944_at	0.688682
801	CALM1	211984_at	208944_at	0.688422
805	CALM2	211984_at	208944_at	0.688422
808	CALM3	211984_at	208944_at	0.688422
79577	CDC73	229828_at	208944_at	0.688203
57541	ZNF398	226202_at	208944_at	0.682721
25923	ATL3	224893_at	208944_at	0.681075
26115	TANC2	224952_at	208944_at	0.678477
23369	PUM2	201493_s_at	208944_at	0.676004
54462	CCSER2	209379_s_at	208944_at	0.674881
9931	HELZ	225910_at	208944_at	0.674663
283459	GATC	200044_at	208944_at	0.671726
8683	SRSF9	200044_at	208944_at	0.671726
3631	INPP4A	204552_at	208944_at	0.670400
831	CAST	212580_at	208944_at	0.669560
9559	VPS26A	201807_at	208944_at	0.669262
353189	SLCO4C1	222071_s_at	208944_at	0.668976
148362	BROX	226128_at	208944_at	0.668162
23673	STX12	212112_s_at	208944_at	0.668025
154	ADRB2	206170_at	208944_at	0.665005
101928625	LOC101928625	209363_s_at	208944_at	0.664252
9412	MED21	209363_s_at	208944_at	0.664252
170384	FUT11	226348_at	208944_at	0.662773
128077	LIX1L	225793_at	208944_at	0.661906
9832	JAKMIP2	205888_s_at	208944_at	0.661345
23473	CAPN7	203356_at	208944_at	0.659196
5583	PRKCH	218764_at	208944_at	0.656758
1487	CTBP1	212863_x_at	208944_at	0.656527
9135	RABEP1	225064_at	208944_at	0.656342
7360	UGP2	205480_s_at	208944_at	0.655838
9254	CACNA2D2	204811_s_at	208944_at	0.655407
201627	DENND6A	226965_at	208944_at	0.655332
6793	STK10	40420_at	208944_at	0.655198
11236	RNF139	209510_at	208944_at	0.653578
9815	GIT2	204982_at	208944_at	0.652555
2339	FNTA	209471_s_at	208944_at	0.652108
659	BMPR2	225144_at	208944_at	0.651813
9616	RNF7	224395_s_at	208944_at	0.651781
7375	USP4	211800_s_at	208944_at	0.651617
151393	RMDN2	235349_at	208944_at	0.648800
54900	LAX1	207734_at	208944_at	0.648652
11320	MGAT4A	226039_at	208944_at	0.648344
5527	PPP2R5C	201877_s_at	208944_at	0.648043
4739	NEDD9	202149_at	208944_at	0.648036
23358	USP24	212388_at	208944_at	0.647704
9760	TOX	204529_s_at	208944_at	0.646279
57508	INTS2	224308_s_at	208944_at	0.645651
84193	SETD3	212465_at	208944_at	0.645299
80310	PDGFD	219304_s_at	208944_at	0.643590
10771	ZMYND11	202137_s_at	208944_at	0.643001
51274	KLF3	225140_at	208944_at	0.642654
5532	PPP3CB	202432_at	208944_at	0.642645
146198	ZFP90	226124_at	208944_at	0.641819
27131	SNX5	222417_s_at	208944_at	0.641141
