"","Gene","Score","Cell_State"
"10","GZMB",-0.187362,"NS1"
"16","SELL",-0.094767,"NS2"
"21","XCL2",-0.051241,"NS2"
"1","CCL4",-0.049761,"NS1"
"9","GPR183",-0.049319,"NS2"
"12","GZMK",-0.032762,"NS2"
"20","XCL1",-0.025516,"NS2"
"19","TRBC1",-0.0011,"NS1"
"15","PRF1",0.037139,"NS1"
"11","GZMH",0.04825,"NS1"
"3","CD247",0.054879,"NS1"
"13","KLRC1",0.079517,"NS2"
"5","CST7",0.09777,"NS1"
"18","SPTSSB",0.107153,"NS2"
"7","FCGR3A",0.120577,"NS1"
"6","CTSW",0.151486,"NS2"
"2","CCL5",0.182684,"NS1"
"8","FGFBP2",0.187068,"NS1"
"14","KLRD1",0.192876,"NS2"
"4","CMC1",0.227963,"NS2"
"17","SPON2",0.271016,"NS1"
