"","Gene","Score","Cell_State"
"13","KLRC1",-0.076147,"NS2"
"9","GPR183",0.037211,"NS2"
"12","GZMK",0.069501,"NS2"
"16","SELL",0.095256,"NS2"
"10","GZMB",0.1034,"NS1"
"11","GZMH",0.11485,"NS1"
"1","CCL4",0.146796,"NS1"
"8","FGFBP2",0.151463,"NS1"
"17","SPON2",0.165089,"NS1"
"4","CMC1",0.180374,"NS2"
"15","PRF1",0.189337,"NS1"
"18","SPTSSB",0.19182,"NS2"
"3","CD247",0.208759,"NS1"
"2","CCL5",0.238094,"NS1"
"5","CST7",0.24558,"NS1"
"21","XCL2",0.246735,"NS2"
"19","TRBC1",0.266337,"NS1"
"6","CTSW",0.282486,"NS2"
"20","XCL1",0.305686,"NS2"
"7","FCGR3A",0.318755,"NS1"
"14","KLRD1",0.381889,"NS2"
