"","Gene","Score","Cell_State"
"8","FGFBP2",-0.382735,"NS1"
"11","GZMH",-0.299808,"NS1"
"2","CCL5",-0.221526,"NS1"
"19","TRBC1",-0.19241,"NS1"
"3","CD247",-0.187867,"NS1"
"4","CMC1",-0.181744,"NS2"
"17","SPON2",-0.078025,"NS1"
"5","CST7",-0.072079,"NS1"
"7","FCGR3A",-0.034919,"NS1"
"10","GZMB",0.055406,"NS1"
"1","CCL4",0.064065,"NS1"
"6","CTSW",0.188422,"NS2"
"15","PRF1",0.217041,"NS1"
"14","KLRD1",0.231267,"NS2"
"18","SPTSSB",0.233397,"NS2"
"13","KLRC1",0.339376,"NS2"
"9","GPR183",0.45429,"NS2"
"12","GZMK",0.494347,"NS2"
"16","SELL",0.525931,"NS2"
"21","XCL2",0.54174,"NS2"
"20","XCL1",0.548291,"NS2"
