"","Gene","Score","Cell_State"
"8","FGFBP2",-0.28575,"NS1"
"19","TRBC1",-0.253547,"NS1"
"5","CST7",-0.229171,"NS1"
"11","GZMH",-0.19739,"NS1"
"2","CCL5",-0.151852,"NS1"
"4","CMC1",-0.138719,"NS2"
"3","CD247",-0.10309,"NS1"
"7","FCGR3A",-0.082771,"NS1"
"17","SPON2",-0.068563,"NS1"
"1","CCL4",-0.047515,"NS1"
"10","GZMB",-0.026924,"NS1"
"15","PRF1",0.080061,"NS1"
"6","CTSW",0.081287,"NS2"
"18","SPTSSB",0.136993,"NS2"
"13","KLRC1",0.234006,"NS2"
"14","KLRD1",0.242688,"NS2"
"20","XCL1",0.306274,"NS2"
"21","XCL2",0.306274,"NS2"
"12","GZMK",0.388449,"NS2"
"9","GPR183",0.452175,"NS2"
"16","SELL",0.452229,"NS2"
