"","Gene","Score","Cell_State"
"11","GZMH",-0.249166,"NS1"
"19","TRBC1",-0.225673,"NS1"
"2","CCL5",-0.217619,"NS1"
"8","FGFBP2",-0.172745,"NS1"
"7","FCGR3A",-0.134627,"NS1"
"3","CD247",-0.12893,"NS1"
"5","CST7",-0.116287,"NS1"
"4","CMC1",-0.111802,"NS2"
"1","CCL4",-0.047613,"NS1"
"6","CTSW",-0.015299,"NS2"
"17","SPON2",0.053804,"NS1"
"10","GZMB",0.063916,"NS1"
"18","SPTSSB",0.144339,"NS2"
"13","KLRC1",0.147184,"NS2"
"15","PRF1",0.167433,"NS1"
"14","KLRD1",0.221508,"NS2"
"9","GPR183",0.362327,"NS2"
"20","XCL1",0.394168,"NS2"
"21","XCL2",0.394168,"NS2"
"12","GZMK",0.432524,"NS2"
"16","SELL",0.579681,"NS2"
