"","Gene","Score","Cell_State"
"9","GPR183",-0.354623,"NS2"
"12","GZMK",-0.237575,"NS2"
"18","SPTSSB",-0.196178,"NS2"
"16","SELL",-0.188363,"NS2"
"13","KLRC1",-0.135255,"NS2"
"4","CMC1",0.084426,"NS2"
"21","XCL2",0.140242,"NS2"
"20","XCL1",0.171971,"NS2"
"11","GZMH",0.190526,"NS1"
"8","FGFBP2",0.243859,"NS1"
"2","CCL5",0.307857,"NS1"
"17","SPON2",0.455773,"NS1"
"1","CCL4",0.472915,"NS1"
"19","TRBC1",0.493753,"NS1"
"10","GZMB",0.506933,"NS1"
"14","KLRD1",0.517879,"NS2"
"3","CD247",0.532061,"NS1"
"7","FCGR3A",0.537543,"NS1"
"6","CTSW",0.572534,"NS2"
"5","CST7",0.576376,"NS1"
"15","PRF1",0.625523,"NS1"
