"","Gene","Score","Cell_State"
"4","CMC1",-0.258051,"NS2"
"12","GZMK",-0.075185,"NS2"
"13","KLRC1",-0.018523,"NS2"
"18","SPTSSB",0.046156,"NS2"
"16","SELL",0.051661,"NS2"
"6","CTSW",0.092639,"NS2"
"2","CCL5",0.094651,"NS1"
"14","KLRD1",0.104492,"NS2"
"9","GPR183",0.131044,"NS2"
"17","SPON2",0.15121,"NS1"
"21","XCL2",0.166172,"NS2"
"19","TRBC1",0.177739,"NS1"
"20","XCL1",0.195399,"NS2"
"11","GZMH",0.205393,"NS1"
"8","FGFBP2",0.207712,"NS1"
"3","CD247",0.29083,"NS1"
"15","PRF1",0.326581,"NS1"
"5","CST7",0.360634,"NS1"
"7","FCGR3A",0.365949,"NS1"
"10","GZMB",0.387641,"NS1"
"1","CCL4",0.398662,"NS1"
