"","Gene","Score","Cell_State"
"13","KLRC1",-0.338837,"NS2"
"12","GZMK",-0.321043,"NS2"
"9","GPR183",-0.236615,"NS2"
"20","XCL1",-0.101573,"NS2"
"21","XCL2",-0.101573,"NS2"
"16","SELL",-0.047722,"NS2"
"18","SPTSSB",-0.009487,"NS2"
"6","CTSW",0.121299,"NS2"
"10","GZMB",0.20427,"NS1"
"4","CMC1",0.228027,"NS2"
"2","CCL5",0.359233,"NS1"
"19","TRBC1",0.360352,"NS1"
"1","CCL4",0.361067,"NS1"
"15","PRF1",0.362009,"NS1"
"11","GZMH",0.434336,"NS1"
"17","SPON2",0.434838,"NS1"
"14","KLRD1",0.448721,"NS2"
"7","FCGR3A",0.47035,"NS1"
"3","CD247",0.471938,"NS1"
"8","FGFBP2",0.504477,"NS1"
"5","CST7",0.526924,"NS1"
